"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-AppService-httpsonly";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-httpsonly.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-AppService-latestTLS";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-AppService-latestTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-KV-SoftDelete";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-KV-SoftDelete.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-Redis-disableNonSslPort";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-disableNonSslPort.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Append-Redis-sslEnforcement";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Append-Redis-sslEnforcement.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-AzureHybridBenefit";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-AzureHybridBenefit.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-Disks-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-Disks-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-MachineLearning-PrivateEndpointId";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-MachineLearning-PrivateEndpointId.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-PrivateLinkDnsZones";"1.0.2";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PrivateLinkDnsZones.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-PublicIpAddresses-UnusedResourcesCostOptimization";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-PublicIpAddresses-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-ServerFarms-UnusedResourcesCostOptimization";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Audit-ServerFarms-UnusedResourcesCostOptimization.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-TrustedLaunch";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Audit-TrustedLaunch.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Audit-UnusedResourcesCostOptimization";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Audit-UnusedResourcesCostOptimization.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AA-child-resources";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AA-child-resources.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-APIM-TLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-APIM-TLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppGw-Without-Tls";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppGw-Without-Tls.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppGW-Without-WAF";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppGW-Without-WAF.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppService-without-BYOC";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppService-without-BYOC.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceApiApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceApiApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceFunctionApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceFunctionApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AppServiceWebApp-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceWebApp-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-AzFw-Without-Policy";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AzFw-Without-Policy.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-CognitiveServices-NetworkAcls";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-NetworkAcls.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-CognitiveServices-Resource-Kinds";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-Resource-Kinds.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-CognitiveServices-RestrictOutboundNetworkAccess";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-RestrictOutboundNetworkAccess.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Databricks-NoPublicIp";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-NoPublicIp.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Databricks-Sku";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-Sku.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Databricks-VirtualNetwork";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Databricks-VirtualNetwork.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-EH-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-EH-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-EH-Premium-CMK";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-EH-Premium-CMK.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureAuth";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureAuth.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureKerberos";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureKerberos.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureSmbChannel";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbChannel.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-FileServices-InsecureSmbVersions";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-FileServices-InsecureSmbVersions.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-LogicApp-Public-Network";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-LogicApp-Public-Network.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-LogicApps-Without-Https";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-LogicApps-Without-Https.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-Aks";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Aks.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-Compute-SubnetId";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Compute-SubnetId.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-Compute-VmSize";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-Compute-VmSize.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-ComputeCluster-RemoteLoginPortPublicAccess";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-ComputeCluster-RemoteLoginPortPublicAccess.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-ComputeCluster-Scale";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-ComputeCluster-Scale.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-HbiWorkspace";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-HbiWorkspace.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-PublicAccessWhenBehindVnet";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-PublicAccessWhenBehindVnet.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MachineLearning-PublicNetworkAccess";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MachineLearning-PublicNetworkAccess.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MgmtPorts-From-Internet";"2.1.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MgmtPorts-From-Internet.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-MySql-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-MySql-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PostgreSql-http";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PostgreSql-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Private-DNS-Zones";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Private-DNS-Zones.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicEndpoint-MariaDB";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicEndpoint-MariaDB.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicIP";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-PublicIP.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-PublicPaaSEndpoints";"5.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deny-PublicPaaSEndpoints.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-RDP-From-Internet";"1.0.1-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-RDP-From-Internet.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Redis-http";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Redis-http.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Service-Endpoints";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Service-Endpoints.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Sql-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Sql-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-SqlMi-minTLS";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-SqlMi-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-ContainerDeleteRetentionPolicy";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ContainerDeleteRetentionPolicy.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-CopyScope";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-CopyScope.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-CorsRules";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-CorsRules.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-LocalUser";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-LocalUser.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-minTLS";"1.0.0-deprecated";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-minTLS.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-NetworkAclsBypass";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-NetworkAclsBypass.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-NetworkAclsVirtualNetworkRules";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-NetworkAclsVirtualNetworkRules.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-ResourceAccessRulesResourceId";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ResourceAccessRulesResourceId.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-ResourceAccessRulesTenantId";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ResourceAccessRulesTenantId.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-ServicesEncryption";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-ServicesEncryption.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Storage-SFTP";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Storage-SFTP.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-StorageAccount-CustomDomain";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-StorageAccount-CustomDomain.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-Nsg";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Nsg.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-Penp";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-Penp.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-Subnet-Without-UDR";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-Subnet-Without-UDR.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-UDR-With-Specific-NextHop";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-UDR-With-Specific-NextHop.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNET-Peer-Cross-Sub";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNET-Peer-Cross-Sub.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNet-Peering";"1.0.1";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNet-Peering.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deny-VNET-Peering-To-Non-Approved-VNETs";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-VNET-Peering-To-Non-Approved-VNETs.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"DenyAction-ActivityLogs";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/DenyAction-ActivityLogs.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"DenyAction-DeleteProtection";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/DenyAction-DeleteProtection.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"DenyAction-DeleteResources";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/DenyAction-DeleteResources.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"DenyAction-DiagnosticLogs";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/DenyAction-DiagnosticLogs.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-ASC-SecurityContacts";"2.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-ASC-SecurityContacts.html"
"PolicySet";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-AUM-CheckUpdates";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyinitiativesadvertizer/Deploy-AUM-CheckUpdates.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Budget";"1.1.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Budget.html"
"Policy";"n/a";"n/a";"n/a";"n/a";"n/a";"Deploy-Custom-Route-Table";"1.0.0";"";"False";"ALZ GitHub repository";"https://www.azadvertizer.net/azpolicyadvertizer/Deploy-Custom-Route-Table.html"
