"capability";"count"
"BlueprintAssignments";"0"
"Blueprints";"0"
"ManagementGroups";"2"
"OrpanedResourceType_microsoft.network/privateendpoints, misconfiguration";"1"
"PolicyAssignments";"1"
"PolicyAssignments_ManagementGroups";"0"
"PolicyAssignments_ResourceGroups";"0"
"PolicyAssignments_Subscriptions";"1"
"PolicyDefinitionsBuiltIn";"2656"
"PolicyDefinitionsCustom";"47"
"PolicySetDefinitionsBuiltIn";"129"
"PolicySetDefinitionsCustom";"2"
"Resources";"16"
"ResourceType_microsoft.dataprotection/backupvaults";"1"
"ResourceType_microsoft.managedidentity/userassignedidentities";"1"
"ResourceType_microsoft.network/dnszones";"1"
"ResourceType_microsoft.network/natgateways";"1"
"ResourceType_microsoft.network/networkinterfaces";"1"
"ResourceType_microsoft.network/networkwatchers";"3"
"ResourceType_microsoft.network/privateendpoints";"1"
"ResourceType_microsoft.network/publicipaddresses";"1"
"ResourceType_microsoft.network/virtualnetworks";"1"
"ResourceType_microsoft.storage/storageaccounts";"4"
"ResourceType_microsoft.web/staticsites";"1"
"ResourceTypes";"11"
"RoleDefinitionsCustom";"0"
"Subscriptions";"1"
"Subscriptions_MSDN_2014-09-01";"1"
"SubscriptionsOutOfScope";"0"
"TotalRoleAssignments";"22"
"TotalRoleAssignments_ManagementGroups";"3"
"TotalRoleAssignments_RgRes";"9"
"TotalRoleAssignments_Subscriptions";"9"
"TotalRoleAssignments_Tenant";"1"
