"Subscription";"SubscriptionId";"SubscriptionMGpath";"Provider";"State"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Astronomer.Astro";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Dynatrace.Observability";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"GitHub.Network";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Informatica.DataManagement";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AAD";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AadCustomSecurityAttributesDiagnosticSettings";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"microsoft.aadiam";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Addons";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ADHybridHealthService";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Advisor";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AgFoodPlatform";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AlertsManagement";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AnalysisServices";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AnyBuild";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ApiCenter";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.ApiManagement";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.App";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AppAssessment";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AppComplianceAutomation";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AppConfiguration";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AppPlatform";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AppSecurity";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Attestation";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Authorization";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Automanage";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.Automation";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AutonomousDevelopmentPlatform";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AVS";"Registered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AwsConnector";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AzureActiveDirectory";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AzureArcData";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AzureBusinessContinuity";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AzureDataTransfer";"NotRegistered"
"Visual Studio Enterprise Subscription – MPN";"d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"aa75eff7-49f7-4da2-a046-a86d8da21c56/es-root/d15e24d4-e2d6-426e-ad94-8789e6c09f7c";"Microsoft.AzureFleet";"NotRegistered"
